Mått;År;Region;Diagnos;Kön;Ålder;Värde
False;1997;23;1;3;2;1
False;1997;8;1;3;2;3
False;1997;5;2;3;1;1
False;1997;9;2;3;5;14
False;1997;9;1;3;2;1
False;1997;3;1;3;2;3
False;1997;10;1;3;1;2
False;1997;13;1;3;2;5
False;1997;19;1;3;2;4
False;1997;19;1;3;3;13
False;1997;21;1;3;3;16
False;1997;23;1;3;3;4
False;1997;24;1;3;2;3
False;1997;5;1;3;3;25
False;1997;18;1;3;3;21
False;1997;4;1;3;3;9
False;1997;9;1;3;3;12
False;1997;5;1;3;2;11
False;1997;7;1;3;2;4
False;1997;10;1;3;3;7
False;1997;22;1;3;2;2
False;1997;18;1;3;2;8
False;1997;25;1;3;2;4
False;1997;3;1;3;1;21
False;1997;6;1;3;2;8
False;1997;7;1;3;1;8
False;1997;8;1;3;1;13
False;1997;8;1;3;3;15
False;1997;9;1;3;1;3
False;1997;9;1;3;4;73
False;1997;10;1;3;2;3
False;1997;13;1;3;3;15
False;1997;17;1;3;2;5
False;1997;20;1;3;2;10
False;1997;23;1;3;1;6
False;1997;25;1;3;3;15
False;1997;0;1;3;1;487
False;1997;0;1;3;2;147
False;1997;0;1;3;3;551
False;1997;0;1;3;4;9338
False;1997;0;1;3;5;75519
False;1997;0;1;3;6;86042
False;1997;1;1;3;1;92
False;1997;1;1;3;2;23
False;1997;1;1;3;3;129
False;1997;1;1;3;4;1849
False;1997;1;1;3;5;12303
False;1997;1;1;3;6;14396
False;1997;3;1;3;3;15
False;1997;3;1;3;4;275
False;1997;3;1;3;5;2013
False;1997;3;1;3;6;2327
False;1997;4;1;3;1;20
False;1997;4;1;3;2;5
False;1997;4;1;3;4;313
False;1997;4;1;3;5;2256
False;1997;4;1;3;6;2603
False;1997;5;1;3;1;28
False;1997;5;1;3;4;402
False;1997;5;1;3;5;3589
False;1997;5;1;3;6;4055
False;1997;6;1;3;1;16
False;1997;6;1;3;3;17
False;1997;6;1;3;4;308
False;1997;6;1;3;5;2926
False;1997;6;1;3;6;3275
False;1997;7;1;3;3;8
False;1997;7;1;3;4;148
False;1997;7;1;3;5;1541
False;1997;7;1;3;6;1709
False;1997;8;1;3;4;282
False;1997;8;1;3;5;2391
False;1997;8;1;3;6;2704
False;1997;9;1;3;5;505
False;1997;9;1;3;6;594
False;1997;10;1;3;4;197
False;1997;10;1;3;5;1466
False;1997;10;1;3;6;1675
False;1997;12;1;3;1;70
False;1997;12;1;3;2;22
False;1997;12;1;3;3;76
False;1997;12;1;3;4;1241
False;1997;12;1;3;5;9680
False;1997;12;1;3;6;11089
False;1997;13;1;3;1;18
False;1997;13;1;3;4;278
False;1997;13;1;3;5;2187
False;1997;13;1;3;6;2503
False;1997;14;1;3;1;81
False;1997;14;1;3;2;19
False;1997;14;1;3;3;94
False;1997;14;1;3;4;1478
False;1997;14;1;3;5;12878
False;1997;14;1;3;6;14550
False;1997;17;1;3;1;13
False;1997;17;1;3;3;16
False;1997;17;1;3;4;309
False;1997;17;1;3;5;2960
False;1997;17;1;3;6;3303
False;1997;18;1;3;1;22
False;1997;18;1;3;4;297
False;1997;18;1;3;5;2659
False;1997;18;1;3;6;3007
False;1997;19;1;3;1;13
False;1997;19;1;3;4;291
False;1997;19;1;3;5;2060
False;1997;19;1;3;6;2381
False;1997;20;1;3;1;9
False;1997;20;1;3;3;16
False;1997;20;1;3;4;333
False;1997;20;1;3;5;2925
False;1997;20;1;3;6;3293
False;1997;21;1;3;1;17
False;1997;21;1;3;2;3
False;1997;21;1;3;4;326
False;1997;21;1;3;5;2779
False;1997;21;1;3;6;3141
False;1997;22;1;3;1;12
False;1997;22;1;3;3;10
False;1997;22;1;3;4;281
False;1997;22;1;3;5;2721
False;1997;22;1;3;6;3026
False;1997;23;1;3;4;131
False;1997;23;1;3;5;1449
False;1997;23;1;3;6;1591
False;1997;24;1;3;1;7
False;1997;24;1;3;3;18
False;1997;24;1;3;4;255
False;1997;24;1;3;5;2111
False;1997;24;1;3;6;2394
False;1997;25;1;3;1;16
False;1997;25;1;3;4;271
False;1997;25;1;3;5;2120
False;1997;25;1;3;6;2426
False;1997;6;4;3;1;1
False;1997;9;4;3;4;1
False;1997;4;4;3;2;1
False;1997;6;4;3;2;4
False;1997;7;4;3;3;1
