Year,Region,Diagnosis,Age,Value
1997,23,1,2,1
1997,8,1,2,3
1997,5,2,1,1
1997,9,2,5,14
1997,9,1,2,1
1997,3,1,2,3
1997,10,1,1,2
1997,13,1,2,5
1997,19,1,2,4
1997,19,1,3,13
1997,21,1,3,16
1997,23,1,3,4
1997,24,1,2,3
1997,5,1,3,25
1997,18,1,3,21
1997,4,1,3,9
1997,9,1,3,12
1997,5,1,2,11
1997,7,1,2,4
1997,10,1,3,7
1997,22,1,2,2
1997,18,1,2,8
1997,25,1,2,4
1997,3,1,1,21
1997,6,1,2,8
1997,7,1,1,8
1997,8,1,1,13
1997,8,1,3,15
1997,9,1,1,3
1997,9,1,4,73
1997,10,1,2,3
1997,13,1,3,15
1997,17,1,2,5
1997,20,1,2,10
1997,23,1,1,6
1997,25,1,3,15
1997,0,1,1,487
1997,0,1,2,147
1997,0,1,3,551
1997,0,1,4,9338
1997,0,1,5,75519
1997,0,1,6,86042
1997,1,1,1,92
1997,1,1,2,23
1997,1,1,3,129
1997,1,1,4,1849
1997,1,1,5,12303
1997,1,1,6,14396
1997,3,1,3,15
1997,3,1,4,275
1997,3,1,5,2013
1997,3,1,6,2327
1997,4,1,1,20
1997,4,1,2,5
1997,4,1,4,313
1997,4,1,5,2256
1997,4,1,6,2603
1997,5,1,1,28
1997,5,1,4,402
1997,5,1,5,3589
1997,5,1,6,4055
1997,6,1,1,16
1997,6,1,3,17
1997,6,1,4,308
1997,6,1,5,2926
1997,6,1,6,3275
1997,7,1,3,8
1997,7,1,4,148
1997,7,1,5,1541
1997,7,1,6,1709
1997,8,1,4,282
1997,8,1,5,2391
1997,8,1,6,2704
1997,9,1,5,505
1997,9,1,6,594
1997,10,1,4,197
1997,10,1,5,1466
1997,10,1,6,1675
1997,12,1,1,70
1997,12,1,2,22
1997,12,1,3,76
1997,12,1,4,1241
1997,12,1,5,9680
1997,12,1,6,11089
1997,13,1,1,18
1997,13,1,4,278
1997,13,1,5,2187
1997,13,1,6,2503
1997,14,1,1,81
1997,14,1,2,19
1997,14,1,3,94
1997,14,1,4,1478
1997,14,1,5,12878
1997,14,1,6,14550
1997,17,1,1,13
1997,17,1,3,16
1997,17,1,4,309
1997,17,1,5,2960
1997,17,1,6,3303
1997,18,1,1,22
1997,18,1,4,297
1997,18,1,5,2659
1997,18,1,6,3007
1997,19,1,1,13
1997,19,1,4,291
1997,19,1,5,2060
1997,19,1,6,2381
1997,20,1,1,9
1997,20,1,3,16
1997,20,1,4,333
1997,20,1,5,2925
1997,20,1,6,3293
1997,21,1,1,17
1997,21,1,2,3
1997,21,1,4,326
1997,21,1,5,2779
1997,21,1,6,3141
1997,22,1,1,12
1997,22,1,3,10
1997,22,1,4,281
1997,22,1,5,2721
1997,22,1,6,3026
1997,23,1,4,131
1997,23,1,5,1449
1997,23,1,6,1591
1997,24,1,1,7
1997,24,1,3,18
1997,24,1,4,255
1997,24,1,5,2111
1997,24,1,6,2394
1997,25,1,1,16
1997,25,1,4,271
1997,25,1,5,2120
1997,25,1,6,2426
1997,6,4,1,1
1997,9,4,4,1
1997,4,4,2,1
1997,6,4,2,4
1997,7,4,3,1
1997,13,4,2,2
1997,18,4,2,1
1997,1,4,2,15
1997,1,4,5,6
1997,3,4,2,1
1997,3,4,3,3
1997,3,4,4,8
1997,4,4,3,3
1997,4,4,4,2
1997,4,4,5,8
1997,4,4,6,14
1997,5,4,2,3
1997,5,4,5,7
1997,6,4,3,1
1997,6,4,5,2
1997,7,4,4,5
1997,7,4,5,5
1997,8,4,1,1
1997,8,4,3,7
1997,8,4,4,3
1997,8,4,5,5
1997,9,4,3,1
1997,9,4,6,2
1997,10,4,4,10
1997,12,4,1,1
1997,12,4,2,9
1997,13,4,3,5
1997,13,4,4,4
1997,17,4,2,4
1997,17,4,3,7
1997,18,4,5,4
1997,19,4,3,1
1997,19,4,4,3
1997,19,4,5,3
1997,19,4,6,7
1997,20,4,1,3
1997,20,4,3,3
1997,21,4,1,2
1997,21,4,4,5
1997,21,4,5,4
1997,23,4,2,5
1997,23,4,5,2
1997,24,4,5,3
1997,13,4,5,3
1997,21,4,2,3
1997,10,4,3,2
1997,18,4,3,6
1997,24,4,4,3
1997,1,4,1,4
1997,0,4,1,31
1997,0,4,2,87
1997,0,4,3,126
1997,0,4,4,158
1997,0,4,5,145
1997,0,4,6,547
1997,1,4,3,14
1997,1,4,4,18
1997,1,4,6,57
1997,3,4,5,3
1997,3,4,6,15
1997,5,4,1,1
1997,5,4,3,6
1997,5,4,4,6
1997,5,4,6,23
1997,6,4,4,6
1997,6,4,6,14
1997,7,4,2,3
1997,7,4,6,14
1997,8,4,2,3
1997,8,4,6,19
1997,10,4,2,1
1997,10,4,5,1
1997,10,4,6,14
1997,12,4,3,15
1997,12,4,4,17
1997,12,4,5,28
1997,12,4,6,70
1997,13,4,1,4
1997,13,4,6,18
1997,14,4,1,4
1997,14,4,2,11
1997,14,4,3,24
1997,14,4,4,24
1997,14,4,5,34
1997,14,4,6,97
1997,17,4,1,3
1997,17,4,4,7
1997,17,4,5,7
1997,17,4,6,28
1997,18,4,4,3
1997,18,4,6,14
1997,20,4,2,7
1997,20,4,4,8
1997,20,4,5,8
1997,20,4,6,29
1997,21,4,3,5
1997,21,4,6,19
1997,22,4,2,6
1997,22,4,3,4
1997,22,4,4,8
1997,22,4,5,5
1997,22,4,6,23
1997,23,4,3,4
1997,23,4,4,7
1997,23,4,6,18
1997,24,4,1,3
1997,24,4,2,3
1997,24,4,3,4
1997,24,4,6,16
1997,25,4,1,4
1997,25,4,2,5
1997,25,4,3,10
1997,25,4,4,10
1997,25,4,5,7
1997,25,4,6,36
1997,0,2,1,7
1997,0,2,2,109
1997,0,2,3,358
1997,0,2,4,930
1997,0,2,5,2727
1997,0,2,6,4131
1997,1,2,1,1
1997,1,2,2,28
1997,1,2,3,91
1997,1,2,4,180
1997,1,2,5,490
1997,1,2,6,790
1997,3,2,2,5
1997,3,2,3,8
1997,3,2,4,24
1997,3,2,5,54
1997,3,2,6,91
1997,4,2,2,4
1997,4,2,3,10
1997,4,2,4,16
1997,4,2,5,91
1997,4,2,6,121
1997,5,2,2,3
1997,5,2,3,12
1997,5,2,4,33
1997,5,2,5,132
1997,5,2,6,181
1997,6,2,2,3
1997,6,2,3,7
1997,6,2,4,28
1997,6,2,5,81
1997,6,2,6,119
1997,7,2,2,1
1997,7,2,3,4
1997,7,2,4,13
1997,7,2,5,43
1997,7,2,6,61
1997,8,2,2,2
1997,8,2,3,8
1997,8,2,4,22
1997,8,2,5,89
1997,8,2,6,121
1997,9,2,3,2
1997,9,2,4,6
1997,9,2,6,22
1997,10,2,2,1
1997,10,2,3,8
1997,10,2,4,12
1997,10,2,5,66
1997,10,2,6,87
1997,12,2,1,1
1997,12,2,2,13
1997,12,2,3,47
1997,12,2,4,132
1997,12,2,5,351
1997,12,2,6,544
1997,13,2,1,1
1997,13,2,2,1
1997,13,2,3,8
1997,13,2,4,28
1997,13,2,5,78
1997,13,2,6,116
1997,14,2,1,1
1997,14,2,2,14
1997,14,2,3,61
1997,14,2,4,187
1997,14,2,5,469
1997,14,2,6,732
1997,17,2,2,2
1997,17,2,3,9
1997,17,2,4,37
1997,17,2,5,70
1997,17,2,6,118
1997,18,2,2,6
1997,18,2,3,11
1997,18,2,4,22
1997,18,2,5,108
1997,18,2,6,147
1997,19,2,2,3
1997,19,2,3,15
1997,19,2,4,24
1997,19,2,5,44
1997,19,2,6,86
1997,20,2,1,1
1997,20,2,2,10
1997,20,2,3,11
1997,20,2,4,30
1997,20,2,5,113
1997,20,2,6,165
1997,21,2,2,1
1997,21,2,3,7
1997,21,2,4,33
1997,21,2,5,108
1997,21,2,6,149
1997,22,2,2,1
1997,22,2,3,8
1997,22,2,4,34
1997,22,2,5,100
1997,22,2,6,143
1997,23,2,2,1
1997,23,2,3,3
1997,23,2,4,16
1997,23,2,5,38
1997,23,2,6,58
1997,24,2,1,1
1997,24,2,2,4
1997,24,2,3,10
1997,24,2,4,22
1997,24,2,5,85
1997,24,2,6,122
1997,25,2,2,6
1997,25,2,3,18
1997,25,2,4,31
1997,25,2,5,103
1997,25,2,6,158
1997,0,3,1,2
1997,0,3,2,13
1997,0,3,3,32
1997,0,3,4,31
1997,0,3,5,16
1997,0,3,6,94
1997,1,3,2,3
1997,1,3,3,6
1997,1,3,4,6
1997,1,3,5,4
1997,1,3,6,19
1997,3,3,1,1
1997,3,3,3,1
1997,3,3,4,1
1997,3,3,6,3
1997,4,3,4,3
1997,4,3,5,1
1997,4,3,6,4
1997,5,3,2,1
1997,5,3,3,2
1997,5,3,4,1
1997,5,3,5,1
1997,5,3,6,5
1997,6,3,3,3
1997,6,3,4,2
1997,6,3,6,5
1997,7,3,3,1
1997,7,3,5,1
1997,7,3,6,2
1997,8,3,2,1
1997,8,3,4,1
1997,8,3,6,2
1997,9,3,3,1
1997,9,3,5,1
1997,9,3,6,2
1997,10,3,4,1
1997,10,3,6,1
1997,12,3,2,1
1997,12,3,3,3
1997,12,3,4,2
1997,12,3,5,5
1997,12,3,6,11
1997,13,3,5,1
1997,13,3,6,1
1997,14,3,2,3
1997,14,3,3,11
1997,14,3,4,4
1997,14,3,5,1
1997,14,3,6,19
1997,17,3,2,2
1997,17,3,4,2
1997,17,3,5,1
1997,17,3,6,5
1997,18,3,4,2
1997,18,3,6,2
1997,19,3,4,1
1997,19,3,6,1
1997,20,3,1,1
1997,20,3,4,3
1997,20,3,6,4
1997,21,3,3,2
1997,21,3,6,2
1997,22,3,2,2
1997,22,3,3,2
1997,22,3,6,4
1997,25,3,4,2
1997,25,3,6,2
1998,10,1,2,1
1998,23,1,2,2
1998,18,2,1,1
1998,9,1,3,5
1998,10,1,3,5
1998,17,1,2,1
1998,24,1,3,11
1998,25,1,2,3
1998,6,1,2,5
1998,5,1,2,5
1998,5,1,3,30
1998,8,1,3,19
1998,13,1,2,5
1998,4,1,3,8
1998,22,1,4,306
1998,23,1,3,16
1998,20,1,2,4
1998,3,1,1,19
1998,3,1,2,8
1998,7,1,2,2
1998,7,1,3,16
1998,8,1,1,14
1998,9,1,1,2
1998,9,1,4,62
1998,10,1,1,5
1998,10,1,4,165
1998,12,1,2,13
1998,13,1,1,6
1998,19,1,2,5
1998,20,1,1,12
1998,21,1,2,5
1998,22,1,2,3
1998,23,1,1,4
1998,24,1,1,14
1998,24,1,2,5
1998,25,1,3,18
1998,0,1,1,463
1998,0,1,2,146
1998,0,1,3,566
1998,0,1,4,9383
