Mått;År;Region;Diagnos;Kön;Ålder;Värde
False;1997;22;1;3;2;6.05
False;1997;3;1;3;4;5.64
False;1997;3;1;3;7;21.77
False;1997;4;1;3;4;6.54
False;1997;4;1;3;6;13.05
False;1997;8;1;3;5;14.59
False;1997;9;1;3;7;52.01
False;1997;10;1;3;2;10.27
False;1997;12;1;3;3;3.1
False;1997;18;1;3;3;6.14
False;1997;20;1;3;3;5.61
False;1997;23;1;3;4;13.1
False;1997;24;1;3;4;6.22
False;1997;25;1;3;5;6.18
False;1997;5;1;3;4;8.18
False;1997;6;1;3;3;4.78
False;1997;7;1;3;4;8.89
False;1997;8;1;3;4;7.03
False;1997;10;1;3;8;33.3
False;1997;3;2;3;13;25.26
False;1997;4;2;3;14;33.07
False;1997;5;2;3;3;4.12
False;1997;5;2;3;14;21.9
False;1997;6;2;3;18;569.54
False;1997;7;2;3;13;11.7
False;1997;7;2;3;15;61.65
False;1997;8;2;3;10;5.88
False;1997;8;2;3;18;653.39
False;1997;9;2;3;12;31.65
False;1997;9;2;3;15;41.08
False;1997;9;2;3;16;43.95
False;1997;9;2;3;17;191.39
False;1997;9;2;3;18;673.4
False;1997;10;2;3;10;18.92
False;1997;10;2;3;11;8.7
False;1997;10;2;3;13;37.78
False;1997;10;2;3;14;13.12
False;1997;10;2;3;17;355.95
False;1997;13;2;3;16;86.97
False;1997;13;2;3;17;181.61
False;1997;18;2;3;16;107.67
False;1997;19;2;3;18;445.21
False;1997;20;2;3;18;854.83
False;1997;22;2;3;9;5.94
False;1997;22;2;3;14;52.69
False;1997;22;2;3;16;134.47
False;1997;22;2;3;18;761.53
False;1997;23;2;3;13;31.51
False;1997;23;2;3;17;259.22
False;1997;23;2;3;18;622.18
False;1997;24;2;3;15;70.01
False;1997;24;2;3;18;841.39
False;1997;25;2;3;14;22.52
False;1997;25;2;3;18;1228.2
False;1997;3;1;3;3;5.31
False;1997;6;1;3;7;22.43
False;1997;7;1;3;6;17.46
False;1997;9;1;3;5;29.44
False;1997;13;1;3;4;12.2
False;1997;18;1;3;8;41.349999999999994
False;1997;19;1;3;7;16.939999999999998
False;1997;21;1;3;4;6.37
False;1997;21;1;3;6;5.78
False;1997;23;1;3;6;12.45
False;1997;25;1;3;3;12.72
False;1997;3;1;3;5;8.62
False;1997;4;1;3;8;24.76
False;1997;4;1;3;9;76.88
False;1997;5;1;3;3;12.36
False;1997;5;1;3;6;17.86
False;1997;5;1;3;7;13.59
False;1997;5;1;3;9;67.50999999999999
False;1997;6;1;3;2;8.48
False;1997;7;1;3;9;84.84
False;1997;7;1;3;10;133.53
False;1997;8;1;3;9;57.239999999999995
False;1997;9;1;3;11;284.55
False;1997;9;1;3;12;411.45
False;1997;9;1;3;13;1046.34
False;1997;10;1;3;1;12.11
False;1997;13;1;3;5;18.87
