Mått;År;Region;Diagnos;Kön;Ålder;Värde
False;1997;22;1;3;2;0.015873015873015872
False;1997;3;1;3;4;0.008620689655172414
False;1997;3;1;3;7;0.01466275659824047
False;1997;4;1;3;4;0.008620689655172414
False;1997;4;1;3;6;0.008438818565400843
False;1997;8;1;3;5;0.008333333333333333
False;1997;9;1;3;7;0.005865102639296188
False;1997;10;1;3;2;0.015873015873015872
False;1997;12;1;3;3;0.03773584905660377
False;1997;18;1;3;3;0.018867924528301886
False;1997;20;1;3;3;0.018867924528301886
False;1997;23;1;3;4;0.008620689655172414
False;1997;24;1;3;4;0.008620689655172414
False;1997;25;1;3;5;0.004166666666666667
False;1997;5;1;3;4;0.017241379310344827
False;1997;6;1;3;3;0.018867924528301886
False;1997;7;1;3;4;0.008620689655172414
False;1997;8;1;3;4;0.008620689655172414
False;1997;10;1;3;8;0.006134969325153374
False;1997;3;2;3;13;0.0008121277747698972
False;1997;4;2;3;14;0.0006795786612300374
False;1997;5;2;3;3;0.018867924528301886
False;1997;5;2;3;14;0.0006795786612300374
False;1997;6;2;3;18;0.0014014275005703484
False;1997;7;2;3;13;0.0002707092582566324
False;1997;7;2;3;15;0.000513083632632119
False;1997;8;2;3;10;0.0008203445447087777
False;1997;8;2;3;18;0.0013362448261252159
False;1997;9;2;3;12;0.00038895371450797355
False;1997;9;2;3;15;0.0001026167265264238
False;1997;9;2;3;16;6.920415224913495e-05
False;1997;9;2;3;17;0.00017003910899506886
False;1997;9;2;3;18;0.0002933220350030962
False;1997;10;2;3;10;0.0016406890894175555
False;1997;10;2;3;11;0.00044822949350067237
False;1997;10;2;3;13;0.0008121277747698972
False;1997;10;2;3;14;0.00016989466530750936
False;1997;10;2;3;17;0.0009068752479737006
False;1997;13;2;3;16;0.0006228373702422145
False;1997;13;2;3;17;0.0007368361389786317
False;1997;18;2;3;16;0.0008996539792387544
False;1997;19;2;3;18;0.0007170094188964573
False;1997;20;2;3;18;0.0018577062216862759
False;1997;22;2;3;9;0.0013477088948787063
False;1997;22;2;3;14;0.0011892626571525654
False;1997;22;2;3;16;0.0010380622837370243
False;1997;22;2;3;18;0.001499201512238047
False;1997;23;2;3;13;0.0005414185165132648
False;1997;23;2;3;17;0.0006234767329819192
False;1997;23;2;3;18;0.0006518267444513248
False;1997;24;2;3;15;0.0008209338122113904
False;1997;24;2;3;18;0.001205879477234951
False;1997;25;2;3;14;0.0005096839959225281
False;1997;25;2;3;18;0.0018251148844637096
False;1997;3;1;3;3;0.018867924528301886
False;1997;6;1;3;7;0.01466275659824047
False;1997;7;1;3;6;0.008438818565400843
False;1997;9;1;3;5;0.004166666666666667
False;1997;13;1;3;4;0.017241379310344827
False;1997;18;1;3;8;0.014314928425357873
False;1997;19;1;3;7;0.008797653958944282
False;1997;21;1;3;4;0.008620689655172414
False;1997;21;1;3;6;0.004219409282700422
False;1997;23;1;3;6;0.004219409282700422
False;1997;25;1;3;3;0.03773584905660377
False;1997;3;1;3;5;0.008333333333333333
False;1997;4;1;3;8;0.0081799591002045
False;1997;4;1;3;9;0.01752021563342318
False;1997;5;1;3;3;0.05660377358490566
False;1997;5;1;3;6;0.02109704641350211
False;1997;5;1;3;7;0.011730205278592375
False;1997;5;1;3;9;0.02425876010781671
False;1997;6;1;3;2;0.031746031746031744
False;1997;7;1;3;9;0.013477088948787063
False;1997;7;1;3;10;0.01394585726004922
False;1997;8;1;3;9;0.012129380053908356
False;1997;9;1;3;11;0.005378753922008068
False;1997;9;1;3;12;0.005056398288603656
False;1997;9;1;3;13;0.007579859231185706
False;1997;10;1;3;1;0.0024330900243309003
False;1997;13;1;3;5;0.0125
False;1997;13;1;3;7;0.008797653958944282
False;1997;14;1;3;4;0.06896551724137931
False;1997;17;1;3;7;0.005865102639296188
False;1997;18;1;3;7;0.02932551319648094
False;1997;19;1;3;5;0.016666666666666666
False;1997;19;1;3;8;0.02044989775051125
False;1997;21;1;3;3;0.07547169811320754
False;1997;21;1;3;7;0.017595307917888565
False;1997;21;1;3;8;0.018404907975460124
False;1997;22;1;3;5;0.004166666666666667
False;1997;23;1;3;8;0.006134969325153374
False;1997;24;1;3;5;0.008333333333333333
False;1997;24;1;3;6;0.016877637130801686
False;1997;24;1;3;8;0.016359918200409
False;1997;25;1;3;7;0.008797653958944282
False;1997;5;1;3;2;0.031746031746031744
False;1997;5;1;3;8;0.032719836400818
False;1997;6;1;3;5;0.0125
False;1997;9;1;3;8;0.014314928425357873
False;1997;10;1;3;10;0.012305168170631665
False;1997;18;1;3;5;0.020833333333333332
False;1997;18;1;3;6;0.016877637130801686
False;1997;25;1;3;9;0.012129380053908356
False;1997;4;1;3;3;0.018867924528301886
False;1997;4;1;3;7;0.008797653958944282
False;1997;6;1;3;12;0.031116297160637883
False;1997;9;1;3;6;0.012658227848101266
False;1997;9;1;3;10;0.008203445447087777
False;1997;12;1;3;2;0.14285714285714285
False;1997;12;1;3;10;0.10828547990155865
False;1997;17;1;3;10;0.02461033634126333
False;1997;18;1;3;2;0.031746031746031744
False;1997;18;1;3;9;0.018867924528301886
False;1997;18;1;3;11;0.023756163155535633
False;1997;19;1;3;10;0.014766201804757998
False;1997;19;1;3;11;0.02689376961004034
False;1997;19;1;3;13;0.03194369247428262
False;1997;20;1;3;9;0.022911051212938006
False;1997;21;1;3;10;0.02871205906480722
False;1997;21;1;3;12;0.026448852586542202
False;1997;22;1;3;10;0.014766201804757998
False;1997;23;1;3;9;0.009433962264150943
False;1997;23;1;3;11;0.012550425818018825
False;1997;24;1;3;3;0.03773584905660377
False;1997;1;1;3;2;0.09523809523809523
False;1997;3;1;3;9;0.022911051212938006
False;1997;3;1;3;12;0.026837806301050177
False;1997;5;1;3;5;0.0375
False;1997;6;1;3;10;0.02378999179655455
False;1997;7;1;3;5;0.0125
False;1997;7;1;3;11;0.010309278350515464
False;1997;8;1;3;7;0.017595307917888565
False;1997;10;1;3;6;0.016877637130801686
False;1997;10;1;3;9;0.012129380053908356
False;1997;10;1;3;12;0.019058732010890703
False;1997;13;1;3;11;0.027790228597041687
False;1997;19;1;3;14;0.02616377845735644
False;1997;22;1;3;4;0.008620689655172414
False;1997;23;1;3;10;0.01066447908121411
False;1997;23;1;3;14;0.016649677200135916
False;1997;25;1;3;10;0.02378999179655455
False;1997;3;1;3;14;0.02378525314305131
False;1997;4;1;3;10;0.030352748154224774
False;1997;4;1;3;14;0.03126061841658172
False;1997;6;1;3;9;0.022911051212938006
False;1997;6;1;3;13;0.03086085544125609
False;1997;7;1;3;14;0.01546041454298335
False;1997;8;1;3;13;0.030048727666486193
False;1997;9;1;3;16;0.0059515570934256055
False;1997;9;1;3;17;0.005894689111829054
False;1997;20;1;3;11;0.03451367099955177
False;1997;20;1;3;14;0.03126061841658172
False;1997;21;1;3;13;0.03492149431510558
False;1997;21;1;3;14;0.03346924906557934
False;1997;21;1;3;15;0.038481272447408926
False;1997;23;1;3;13;0.012723335138061722
False;1997;25;1;3;8;0.014314928425357873
False;1997;25;1;3;15;0.03078501795792714
False;1997;18;1;3;4;0.02586206896551724
False;1997;25;1;3;4;0.02586206896551724
False;1997;1;1;3;4;0.0603448275862069
False;1997;3;1;3;1;0.0413625304136253
False;1997;3;1;3;2;0.047619047619047616
False;1997;3;1;3;11;0.023756163155535633
False;1997;6;1;3;4;0.04310344827586207
False;1997;7;1;3;1;0.019464720194647202
False;1997;7;1;3;16;0.01806228373702422
False;1997;7;1;3;17;0.019781216346426343
False;1997;8;1;3;1;0.0267639902676399
False;1997;8;1;3;2;0.015873015873015872
False;1997;8;1;3;3;0.018867924528301886
False;1997;8;1;3;6;0.012658227848101266
False;1997;8;1;3;8;0.012269938650306749
False;1997;9;1;3;1;0.0072992700729927005
False;1997;9;1;3;9;0.013477088948787063
False;1997;9;1;3;15;0.006567470497691123
False;1997;10;1;3;5;0.0125
False;1997;13;1;3;2;0.06349206349206349
False;1997;13;1;3;8;0.024539877300613498
False;1997;13;1;3;9;0.0215633423180593
False;1997;14;1;3;2;0.14285714285714285
False;1997;14;1;3;3;0.1320754716981132
False;1997;14;1;3;8;0.08997955010224949
False;1997;17;1;3;2;0.047619047619047616
False;1997;17;1;3;4;0.02586206896551724
False;1997;17;1;3;5;0.008333333333333333
False;1997;17;1;3;6;0.02531645569620253
False;1997;17;1;3;9;0.02830188679245283
False;1997;18;1;3;13;0.03248511099079589
False;1997;19;1;3;2;0.047619047619047616
False;1997;19;1;3;9;0.02021563342318059
False;1997;20;1;3;2;0.015873015873015872
False;1997;20;1;3;4;0.04310344827586207
False;1997;20;1;3;5;0.020833333333333332
False;1997;20;1;3;6;0.012658227848101266
False;1997;20;1;3;7;0.011730205278592375
False;1997;20;1;3;15;0.033350436121087734
False;1997;21;1;3;2;0.047619047619047616
False;1997;21;1;3;11;0.0340654415060511
False;1997;22;1;3;8;0.0081799591002045
False;1997;22;1;3;13;0.02977801840822956
False;1997;23;1;3;1;0.009732360097323601
False;1997;23;1;3;2;0.031746031746031744
False;1997;23;1;3;16;0.01778546712802768
False;1997;24;1;3;9;0.01752021563342318
False;1997;24;1;3;10;0.017227235438884332
False;1997;24;1;3;12;0.022559315441462467
False;1997;25;1;3;6;0.02109704641350211
False;1997;25;1;3;12;0.030338389731621937
False;1997;0;1;3;1;0.9708029197080292
False;1997;0;1;3;2;0.8412698412698413
False;1997;0;1;3;3;0.660377358490566
False;1997;0;1;3;4;0.49137931034482757
False;1997;0;1;3;5;0.375
False;1997;0;1;3;6;0.4050632911392405
False;1997;0;1;3;7;0.5131964809384164
False;1997;0;1;3;8;0.5725971370143149
False;1997;0;1;3;9;0.6994609164420486
False;1997;0;1;3;10;0.822805578342904
False;1997;0;1;3;11;0.8767368892873151
False;1997;0;1;3;12;0.9093737845196421
False;1997;0;1;3;13;0.9534380075798592
False;1997;0;1;3;14;0.9714576962283384
False;1997;0;1;3;15;0.975782452539764
False;1997;0;1;3;16;0.975916955017301
False;1997;0;1;3;17;0.9636116306750553
False;1997;0;1;3;18;0.951308542189486
False;1997;0;1;3;19;86042.0
False;1997;1;1;3;1;0.1873479318734793
False;1997;1;1;3;3;0.16981132075471697
False;1997;1;1;3;5;0.06666666666666667
False;1997;1;1;3;6;0.08438818565400844
False;1997;1;1;3;7;0.14076246334310852
False;1997;1;1;3;8;0.12474437627811862
False;1997;1;1;3;9;0.16037735849056603
False;1997;1;1;3;10;0.1903199343724364
False;1997;1;1;3;11;0.1801882563872703
False;1997;1;1;3;12;0.18319719953325556
False;1997;1;1;3;13;0.16919328641039524
False;1997;1;1;3;14;0.16768603465851173
False;1997;1;1;3;15;0.17044638276038995
False;1997;1;1;3;16;0.1588235294117647
False;1997;1;1;3;17;0.15071133027262937
False;1997;1;1;3;18;0.1532118762832839
False;1997;1;1;3;19;14396.0
False;1997;3;1;3;8;0.02044989775051125
False;1997;3;1;3;10;0.03527481542247744
False;1997;3;1;3;13;0.025175961017866812
False;1997;3;1;3;15;0.024935864545920984
False;1997;3;1;3;16;0.024705882352941175
False;1997;3;1;3;17;0.026696140112225812
False;1997;3;1;3;18;0.026138252452498126
False;1997;3;1;3;19;2327.0
False;1997;4;1;3;1;0.046228710462287104
False;1997;4;1;3;5;0.016666666666666666
False;1997;4;1;3;11;0.023756163155535633
False;1997;4;1;3;12;0.033061065733177755
False;1997;4;1;3;13;0.03383865728207905
False;1997;4;1;3;15;0.029451000513083633
False;1997;4;1;3;16;0.029411764705882353
False;1997;4;1;3;17;0.029076687638156778
False;1997;4;1;3;18;0.027604862627513608
False;1997;4;1;3;19;2603.0
False;1997;5;1;3;1;0.05596107055961071
False;1997;5;1;3;10;0.04265791632485644
False;1997;5;1;3;11;0.047064096817570594
False;1997;5;1;3;12;0.0338389731621937
False;1997;5;1;3;13;0.03789929615592853
False;1997;5;1;3;14;0.045022086306489975
False;1997;5;1;3;15;0.044125192406362236
False;1997;5;1;3;16;0.047058823529411764
False;1997;5;1;3;17;0.04698747378563736
False;1997;5;1;3;18;0.045139002053254246
False;1997;5;1;3;19;4055.0
False;1997;6;1;3;1;0.031630170316301706
False;1997;6;1;3;6;0.016877637130801686
False;1997;6;1;3;8;0.016359918200409
False;1997;6;1;3;11;0.03047960555804572
False;1997;6;1;3;14;0.03211009174311927
False;1997;6;1;3;15;0.036839404822986144
False;1997;6;1;3;16;0.03916955017301038
False;1997;6;1;3;17;0.037181885166921724
False;1997;6;1;3;18;0.037675585829286574
False;1997;6;1;3;19;3275.0
False;1997;7;1;3;8;0.012269938650306749
False;1997;7;1;3;12;0.015169194865810968
False;1997;7;1;3;13;0.01597184623714131
False;1997;7;1;3;15;0.018881477680861982
False;1997;7;1;3;18;0.021379917218003454
False;1997;7;1;3;19;1709.0
False;1997;8;1;3;10;0.026251025430680888
False;1997;8;1;3;11;0.017929179740026894
False;1997;8;1;3;12;0.03500583430571762
False;1997;8;1;3;14;0.02803261977573904
False;1997;8;1;3;15;0.029758850692662903
False;1997;8;1;3;16;0.03017301038062284
False;1997;8;1;3;17;0.030663719322110754
False;1997;8;1;3;18;0.031255092396441024
False;1997;8;1;3;19;2704.0
False;1997;9;1;3;14;0.0054366292898402994
False;1997;9;1;3;18;0.007137502851742007
False;1997;9;1;3;19;594.0
False;1997;10;1;3;11;0.02285970416853429
False;1997;10;1;3;13;0.019761775852734163
False;1997;10;1;3;14;0.018858307849133536
False;1997;10;1;3;15;0.018163160595177013
False;1997;10;1;3;16;0.01647058823529412
False;1997;10;1;3;17;0.018364223771467438
False;1997;10;1;3;18;0.020076263729100804
False;1997;10;1;3;19;1675.0
False;1997;12;1;3;1;0.1435523114355231
False;1997;12;1;3;4;0.09482758620689655
False;1997;12;1;3;5;0.04583333333333333
False;1997;12;1;3;6;0.05063291139240506
False;1997;12;1;3;7;0.07624633431085044
False;1997;12;1;3;8;0.07770961145194274
False;1997;12;1;3;9;0.07277628032345014
False;1997;12;1;3;11;0.11698789780367548
False;1997;12;1;3;12;0.12446518864255153
False;1997;12;1;3;13;0.12831618841364376
False;1997;12;1;3;14;0.13778457356439008
False;1997;12;1;3;15;0.1210877373011801
False;1997;12;1;3;16;0.12228373702422145
False;1997;12;1;3;17;0.11885733718755313
False;1997;12;1;3;18;0.12466186487631588
False;1997;12;1;3;19;11089.0
False;1997;13;1;3;1;0.0340632603406326
False;1997;13;1;3;10;0.017227235438884332
False;1997;13;1;3;12;0.024893037728510307
False;1997;13;1;3;13;0.031131564699512723
False;1997;13;1;3;14;0.02616377845735644
False;1997;13;1;3;15;0.026064648537711645
False;1997;13;1;3;16;0.02643598615916955
False;1997;13;1;3;17;0.026979538627217595
False;1997;13;1;3;18;0.03001662158198351
False;1997;13;1;3;19;2503.0
False;1997;14;1;3;1;0.15815085158150852
False;1997;14;1;3;5;0.04583333333333333
False;1997;14;1;3;6;0.07172995780590717
False;1997;14;1;3;7;0.0967741935483871
False;1997;14;1;3;9;0.12533692722371967
False;1997;14;1;3;10;0.12715340442986053
False;1997;14;1;3;11;0.1393993724787091
False;1997;14;1;3;12;0.1338000777907429
False;1997;14;1;3;13;0.15565782349756363
False;1997;14;1;3;14;0.1564729867482161
False;1997;14;1;3;15;0.16223704463827604
False;1997;14;1;3;16;0.1627681660899654
False;1997;14;1;3;17;0.17139942186702942
False;1997;14;1;3;18;0.1629566861128312
False;1997;14;1;3;19;14550.0
False;1997;17;1;3;1;0.024330900243309004
False;1997;17;1;3;8;0.016359918200409
False;1997;17;1;3;11;0.03182429403854774
False;1997;17;1;3;12;0.024504084014002333
False;1997;17;1;3;13;0.033567948023822416
False;1997;17;1;3;14;0.04247366632687734
False;1997;17;1;3;15;0.03950743971267317
False;1997;17;1;3;16;0.03833910034602076
False;1997;17;1;3;17;0.037975401008898714
False;1997;17;1;3;18;0.03588306228204543
False;1997;17;1;3;19;3303.0
False;1997;18;1;3;1;0.046228710462287104
False;1997;18;1;3;10;0.022149302707136997
False;1997;18;1;3;12;0.032283158304161806
False;1997;18;1;3;14;0.02820251444104655
False;1997;18;1;3;15;0.03181118522319138
False;1997;18;1;3;16;0.036539792387543256
False;1997;18;1;3;17;0.034744657937992404
False;1997;18;1;3;18;0.033960173385914026
False;1997;18;1;3;19;3007.0
False;1997;19;1;3;1;0.024330900243309004
False;1997;19;1;3;12;0.031116297160637883
False;1997;19;1;3;15;0.024935864545920984
False;1997;19;1;3;16;0.029826989619377162
False;1997;19;1;3;17;0.02612934308224225
False;1997;19;1;3;18;0.025127920998598573
False;1997;19;1;3;19;2381.0
False;1997;20;1;3;1;0.0170316301703163
False;1997;20;1;3;8;0.018404907975460124
False;1997;20;1;3;10;0.030352748154224774
False;1997;20;1;3;12;0.02956048230260599
False;1997;20;1;3;13;0.03410936654033568
False;1997;20;1;3;16;0.04304498269896194
False;1997;20;1;3;17;0.03757864308791022
False;1997;20;1;3;18;0.03686080239872242
False;1997;20;1;3;19;3293.0
False;1997;21;1;3;1;0.024330900243309004
False;1997;21;1;3;5;0.008333333333333333
False;1997;21;1;3;9;0.02425876010781671
False;1997;21;1;3;16;0.038961937716262975
False;1997;21;1;3;17;0.03417786090800884
False;1997;21;1;3;18;0.03392758204869146
False;1997;21;1;3;19;3141.0
False;1997;22;1;3;1;0.0267639902676399
False;1997;22;1;3;7;0.017595307917888565
False;1997;22;1;3;9;0.026954177897574125
False;1997;22;1;3;11;0.021515015688032272
False;1997;22;1;3;12;0.033061065733177755
False;1997;22;1;3;14;0.03567787971457696
False;1997;22;1;3;15;0.03868650590046178
False;1997;22;1;3;16;0.03529411764705882
False;1997;22;1;3;17;0.03298758714504336
False;1997;22;1;3;18;0.033960173385914026
False;1997;22;1;3;19;3026.0
False;1997;23;1;3;12;0.014002333722287048
False;1997;23;1;3;15;0.020112878399179066
False;1997;23;1;3;17;0.01910105991044607
False;1997;23;1;3;18;0.018283740181859662
False;1997;23;1;3;19;1591.0
False;1997;24;1;3;1;0.012165450121654502
False;1997;24;1;3;7;0.017595307917888565
False;1997;24;1;3;11;0.025549081129538322
False;1997;24;1;3;13;0.028695181375203032
False;1997;24;1;3;14;0.03109072375127421
False;1997;24;1;3;15;0.029553617239610055
False;1997;24;1;3;16;0.028304498269896193
False;1997;24;1;3;17;0.029360086153148557
False;1997;24;1;3;18;0.02323762343968973
False;1997;24;1;3;19;2394.0
False;1997;25;1;3;1;0.031630170316301706
False;1997;25;1;3;2;0.015873015873015872
False;1997;25;1;3;11;0.020170327207530255
False;1997;25;1;3;13;0.02977801840822956
False;1997;25;1;3;14;0.038396194359497114
False;1997;25;1;3;16;0.026505190311418684
False;1997;25;1;3;17;0.028963328232160062
False;1997;25;1;3;18;0.02281393605579637
False;1997;25;1;3;19;2426.0
False;1997;1;4;3;1;0.0024330900243309003
False;1997;1;4;3;17;0.00017003910899506886
False;1997;1;4;3;18;3.2591337222566244e-05
False;1997;6;4;3;1;0.0024330900243309003
False;1997;6;4;3;5;0.008333333333333333
False;1997;6;4;3;17;5.667970299835629e-05
False;1997;7;4;3;17;5.667970299835629e-05
False;1997;8;4;3;16;6.920415224913495e-05
False;1997;10;4;3;11;0.00044822949350067237
False;1997;13;4;3;4;0.008620689655172414
False;1997;14;4;3;1;0.0024330900243309003
False;1997;17;4;3;15;0.0001026167265264238
False;1997;20;4;3;3;0.018867924528301886
False;1997;20;4;3;10;0.0008203445447087777
False;1997;20;4;3;13;0.0002707092582566324
False;1997;20;4;3;18;3.2591337222566244e-05
False;1997;22;4;3;16;6.920415224913495e-05
False;1997;24;4;3;1;0.0024330900243309003
False;1997;24;4;3;4;0.008620689655172414
False;1997;5;4;3;17;5.667970299835629e-05
False;1997;5;4;3;18;3.2591337222566244e-05
False;1997;6;4;3;9;0.0013477088948787063
False;1997;9;4;3;9;0.0013477088948787063
False;1997;13;4;3;3;0.018867924528301886
False;1997;13;4;3;10;0.0008203445447087777
False;1997;18;4;3;15;0.0001026167265264238
False;1997;19;4;3;13;0.0002707092582566324
False;1997;19;4;3;17;0.00011335940599671258
False;1997;21;4;3;9;0.0013477088948787063
False;1997;24;4;3;18;6.518267444513249e-05
False;1997;3;4;3;7;0.002932551319648094
False;1997;4;4;3;4;0.008620689655172414
False;1997;5;4;3;7;0.002932551319648094
