Year,Region,Diagnosis,Age,Value
1997,22,1,2,6.05
1997,3,1,4,5.64
1997,3,1,7,21.77
1997,4,1,4,6.54
1997,4,1,6,13.05
1997,8,1,5,14.59
1997,9,1,7,52.01
1997,10,1,2,10.27
1997,12,1,3,3.1
1997,18,1,3,6.14
1997,20,1,3,5.61
1997,23,1,4,13.1
1997,24,1,4,6.22
1997,25,1,5,6.18
1997,5,1,4,8.18
1997,6,1,3,4.78
1997,7,1,4,8.89
1997,8,1,4,7.03
1997,10,1,8,33.3
1997,3,2,13,25.26
1997,4,2,14,33.07
1997,5,2,3,4.12
1997,5,2,14,21.9
1997,6,2,18,569.54
1997,7,2,13,11.7
1997,7,2,15,61.65
1997,8,2,10,5.88
1997,8,2,18,653.39
1997,9,2,12,31.65
1997,9,2,15,41.08
1997,9,2,16,43.95
1997,9,2,17,191.39
1997,9,2,18,673.4
1997,10,2,10,18.92
1997,10,2,11,8.7
1997,10,2,13,37.78
1997,10,2,14,13.12
1997,10,2,17,355.95
1997,13,2,16,86.97
1997,13,2,17,181.61
1997,18,2,16,107.67
1997,19,2,18,445.21
1997,20,2,18,854.83
1997,22,2,9,5.94
1997,22,2,14,52.69
1997,22,2,16,134.47
1997,22,2,18,761.53
1997,23,2,13,31.51
1997,23,2,17,259.22
1997,23,2,18,622.18
1997,24,2,15,70.01
1997,24,2,18,841.39
1997,25,2,14,22.52
1997,25,2,18,1228.2
1997,3,1,3,5.31
1997,6,1,7,22.43
1997,7,1,6,17.46
1997,9,1,5,29.44
1997,13,1,4,12.2
1997,18,1,8,41.35
1997,19,1,7,16.94
1997,21,1,4,6.37
1997,21,1,6,5.78
1997,23,1,6,12.45
1997,25,1,3,12.72
1997,3,1,5,8.62
1997,4,1,8,24.76
1997,4,1,9,76.88
1997,5,1,3,12.36
1997,5,1,6,17.86
1997,5,1,7,13.59
1997,5,1,9,67.51
1997,6,1,2,8.48
1997,7,1,9,84.84
1997,7,1,10,133.53
1997,8,1,9,57.24
1997,9,1,11,284.55
1997,9,1,12,411.45
1997,9,1,13,1046.34
1997,10,1,1,12.11
1997,13,1,5,18.87
1997,13,1,7,16.02
1997,14,1,4,9.6
1997,17,1,7,10.6
1997,18,1,7,53.54
1997,19,1,5,27.74
1997,19,1,8,62.93
1997,21,1,3,24.28
1997,21,1,7,31.57
1997,21,1,8,50.93
1997,22,1,5,6.64
1997,23,1,8,36.32
1997,24,1,5,10.54
1997,24,1,6,22.8
1997,24,1,8,48.64
1997,25,1,7,16.67
1997,5,1,2,6.98
1997,5,1,8,60.42
1997,6,1,5,15.18
1997,9,1,8,183.12
1997,10,1,10,141.88
1997,18,1,5,29.09
1997,18,1,6,22.33
1997,25,1,9,49.21
1997,4,1,3,6.35
1997,4,1,7,17.4
1997,6,1,12,459.08
1997,9,1,6,92.35
1997,9,1,10,237.76
1997,12,1,2,12.05
1997,12,1,10,169.42
1997,17,1,10,151.53
1997,18,1,2,10.82
1997,18,1,9,78.36
1997,18,1,11,254.87
1997,19,1,10,102.28
1997,19,1,11,321.99
1997,19,1,13,993.56
1997,20,1,9,87.91
1997,21,1,10,168.12
1997,21,1,12,418.37
1997,22,1,10,98.97
1997,23,1,9,77.4
1997,23,1,11,288.77
1997,24,1,3,12.36
1997,1,1,2,5.1
1997,3,1,9,82.47
1997,3,1,12,454.59
1997,5,1,5,31.04
1997,6,1,10,130.18
1997,7,1,5,25.38
1997,7,1,11,180.55
1997,8,1,7,38.27
1997,10,1,6,42.04
1997,10,1,9,94.4
1997,10,1,12,539.7
1997,13,1,11,315.61
1997,19,1,14,1342.4
1997,22,1,4,6.71
1997,23,1,10,138.11
1997,23,1,14,1508.98
1997,25,1,10,149.33
1997,3,1,14,1236.98
1997,4,1,10,196.09
1997,4,1,14,1521.42
1997,6,1,9,80.96
1997,6,1,13,758.44
1997,7,1,14,1075
1997,8,1,13,920.92
1997,9,1,16,3779.38
1997,9,1,17,6634.77
1997,20,1,11,360.92
1997,20,1,14,1326.07
1997,21,1,13,893.45
1997,21,1,14,1371.86
1997,21,1,15,2683.18
1997,23,1,13,740.57
1997,25,1,8,40.25
1997,25,1,15,2591.01
1997,18,1,4,18.75
1997,25,1,4,19.26
1997,1,1,4,7.7
1997,3,1,1,87.16
1997,3,1,2,13.62
1997,3,1,11,238.8
1997,6,1,4,24.59
1997,7,1,1,76.95
1997,7,1,16,3681.76
1997,7,1,17,6905.44
1997,8,1,1,81.07
1997,8,1,2,6.03
1997,8,1,3,6.79
1997,8,1,6,21.41
1997,8,1,8,41.15
1997,9,1,1,89.64
1997,9,1,9,243.37
1997,9,1,15,2628.88
1997,10,1,5,31.56
1997,13,1,2,20.16
1997,13,1,8,67.58
1997,13,1,9,89.12
1997,14,1,2,8.73
1997,14,1,3,8.02
1997,14,1,8,44.47
1997,17,1,2,15.87
1997,17,1,4,18.99
1997,17,1,5,11.82
1997,17,1,6,35.11
1997,17,1,9,113.41
1997,18,1,13,988.44
1997,19,1,2,17.7
1997,19,1,9,95.1
1997,20,1,2,4.98
1997,20,1,4,29.21
1997,20,1,5,31.06
1997,20,1,6,18.36
1997,20,1,7,21.85
1997,20,1,15,2359.34
1997,21,1,2,15.45
1997,21,1,11,347.82
1997,22,1,8,26
1997,22,1,13,825.71
1997,23,1,1,54.15
1997,23,1,2,21.98
1997,23,1,16,4138.48
1997,24,1,9,74.67
1997,24,1,10,117.35
1997,24,1,12,423.61
1997,25,1,6,30
1997,25,1,12,510.65
1997,0,1,1,74.59
1997,0,1,2,8.71
1997,0,1,3,6.77
1997,0,1,4,11.35
1997,0,1,5,16.15
1997,0,1,6,15.92
1997,0,1,7,26.81
1997,0,1,8,47.97
1997,0,1,9,88.21
1997,0,1,10,160.9
1997,0,1,11,302.92
1997,0,1,12,484.9
1997,0,1,13,869.54
1997,0,1,14,1453.73
1997,0,1,15,2479.81
1997,0,1,16,4124.48
1997,0,1,17,7251.99
1997,0,1,18,15386.54
1997,0,1,19,972.64
1997,1,1,1,66.52
1997,1,1,3,9.61
1997,1,1,5,14.45
1997,1,1,6,14.38
1997,1,1,7,31.17
1997,1,1,8,46.75
1997,1,1,9,98.42
1997,1,1,10,188.06
1997,1,1,11,304.55
1997,1,1,12,507.04
1997,1,1,13,874.47
1997,1,1,14,1503.36
1997,1,1,15,2561.38
1997,1,1,16,3941.29
1997,1,1,17,6841.29
1997,1,1,18,14444.18
1997,1,1,19,820.94
1997,3,1,8,49.3
1997,3,1,10,194.71
1997,3,1,13,783.15
1997,3,1,15,2245.96
1997,3,1,16,3705.63
1997,3,1,17,7008.93
1997,3,1,18,14011.18
1997,3,1,19,766.48
1997,4,1,1,126.88
1997,4,1,5,27.56
1997,4,1,11,265.77
1997,4,1,12,573.68
1997,4,1,13,1005.91
1997,4,1,15,2428.59
1997,4,1,16,4061.56
1997,4,1,17,7336.43
1997,4,1,18,15457.64
1997,4,1,19,1012.36
1997,5,1,1,90.7
1997,5,1,10,180.77
1997,5,1,11,354.98
1997,5,1,12,388.67
1997,5,1,13,744.78
1997,5,1,14,1450.92
1997,5,1,15,2344.01
1997,5,1,16,4128.59
1997,5,1,17,7422.99
1997,5,1,18,15446.37
1997,5,1,19,977.09
1997,6,1,1,64.09
1997,6,1,6,18.89
1997,6,1,8,39.38
1997,6,1,11,296.87
1997,6,1,14,1248.14
1997,6,1,15,2370.42
1997,6,1,16,4141.65
1997,6,1,17,6849.38
1997,6,1,18,15311.27
1997,6,1,19,997.28
1997,7,1,8,55.3
1997,7,1,12,401.72
1997,7,1,13,690.3
1997,7,1,15,2268.79
1997,7,1,18,14883.73
1997,7,1,19,952.96
1997,8,1,10,188.06
