Year,Region,Diagnosis,Age,Value
1997,22,1,2,0.162998122261632
1997,3,1,4,0.19895548371052
1997,3,1,7,0.759489440818304
1997,4,1,4,0.19895548371052
1997,4,1,6,0.334452634817857
1997,8,1,5,0.363992414398084
1997,9,1,7,0.303795776327322
1997,10,1,2,0.162998122261632
1997,12,1,3,0.382836666564577
1997,18,1,3,0.191418333282288
1997,20,1,3,0.191418333282288
1997,23,1,4,0.19895548371052
1997,24,1,4,0.19895548371052
1997,25,1,5,0.181996207199042
1997,5,1,4,0.39791096742104
1997,6,1,3,0.191418333282288
1997,7,1,4,0.19895548371052
1997,8,1,4,0.19895548371052
1997,10,1,8,0.51327236798207
1997,3,2,13,0.737425059178361
1997,4,2,14,1.02070760554755
1997,5,2,3,0.191418333282288
1997,5,2,14,1.02070760554755
1997,6,2,18,22.3084585373952
1997,7,2,13,0.245808353059454
1997,7,2,15,1.31813436534467
1997,8,2,10,0.162581270312498
1997,8,2,18,21.2708558147257
1997,9,2,12,0.202653134841343
1997,9,2,15,0.263626873068933
1997,9,2,16,0.290970882543784
1997,9,2,17,1.27803149069593
1997,9,2,18,4.66921225201295
1997,10,2,10,0.325162540624995
1997,10,2,11,0.152785820253594
1997,10,2,13,0.737425059178361
1997,10,2,14,0.255176901386886
1997,10,2,17,6.8161679503783
1997,13,2,16,2.61873794289405
1997,13,2,17,5.53813645968237
1997,18,2,16,3.78262147306919
1997,19,2,18,11.413629949365
1997,20,2,18,29.571677596082
1997,22,2,9,0.170057904716556
1997,22,2,14,1.78623830970821
1997,22,2,16,4.36456323815676
1997,22,2,18,23.8648626213995
1997,23,2,13,0.491616706118907
1997,23,2,17,4.68611546588508
1997,23,2,18,10.3760272266954
1997,24,2,15,2.10901498455146
1997,24,2,18,19.1956503693866
1997,25,2,14,0.765530704160659
1997,25,2,18,29.0528762347472
1997,3,1,3,0.191418333282288
1997,6,1,7,0.759489440818304
1997,7,1,6,0.334452634817857
1997,9,1,5,0.181996207199042
