Mått;År;Region;Diagnos;Kön;Ålder;Värde
False;1997;23;1;3;2;1
False;1997;8;1;3;2;3
False;1997;5;2;3;1;1
False;1997;9;1;3;2;1
False;1997;3;1;3;2;3
False;1997;10;1;3;1;2
False;1997;13;1;3;2;5
False;1997;19;1;3;2;4
False;1997;19;1;3;3;13
False;1997;21;1;3;3;16
False;1997;23;1;3;3;4
False;1997;24;1;3;2;3
False;1997;5;1;3;3;25
False;1997;18;1;3;3;21
False;1997;4;1;3;3;9
False;1997;9;1;3;3;12
False;1997;5;1;3;2;11
False;1997;7;1;3;2;4
False;1997;10;1;3;3;7
False;1997;22;1;3;2;2
False;1997;18;1;3;2;8
False;1997;25;1;3;2;4
False;1997;3;1;3;1;21
False;1997;6;1;3;2;8
False;1997;7;1;3;1;8
False;1997;8;1;3;1;13
False;1997;8;1;3;3;15
False;1997;9;1;3;1;3
False;1997;10;1;3;2;3
False;1997;13;1;3;3;15
False;1997;17;1;3;2;5
False;1997;20;1;3;2;10
False;1997;23;1;3;1;6
False;1997;25;1;3;3;15
False;1997;0;1;3;1;487
False;1997;0;1;3;2;147
False;1997;0;1;3;3;551
False;1997;0;1;3;4;169456
False;1997;1;1;3;1;92
False;1997;1;1;3;2;23
False;1997;1;1;3;3;129
False;1997;1;1;3;4;27946
False;1997;3;1;3;3;15
False;1997;3;1;3;4;5164
False;1997;4;1;3;1;20
False;1997;4;1;3;2;5
False;1997;4;1;3;4;5287
False;1997;5;1;3;1;28
False;1997;5;1;3;4;10997
False;1997;6;1;3;1;16
False;1997;6;1;3;3;17
False;1997;6;1;3;4;6094
False;1997;7;1;3;3;8
False;1997;7;1;3;4;4598
False;1997;8;1;3;4;5219
False;1997;9;1;3;4;1232
False;1997;10;1;3;4;4477
False;1997;12;1;3;1;70
False;1997;12;1;3;2;22
False;1997;12;1;3;3;76
False;1997;12;1;3;4;21364
False;1997;13;1;3;1;18
False;1997;13;1;3;4;6250
False;1997;14;1;3;1;81
False;1997;14;1;3;2;19
False;1997;14;1;3;3;94
False;1997;14;1;3;4;28399
False;1997;17;1;3;1;13
False;1997;17;1;3;3;16
False;1997;17;1;3;4;6755
False;1997;18;1;3;1;22
False;1997;18;1;3;4;5579
False;1997;19;1;3;1;13
False;1997;19;1;3;4;5046
False;1997;20;1;3;1;9
False;1997;20;1;3;3;16
False;1997;20;1;3;4;6661
False;1997;21;1;3;1;17
False;1997;21;1;3;2;3
False;1997;21;1;3;4;7029
False;1997;22;1;3;1;12
False;1997;22;1;3;3;10
False;1997;22;1;3;4;5484
False;1997;23;1;3;4;3800
False;1997;24;1;3;1;7
False;1997;24;1;3;3;18
False;1997;24;1;3;4;5603
False;1997;25;1;3;1;16
False;1997;25;1;3;4;6023
False;1997;6;4;3;1;1
False;1997;4;4;3;2;1
False;1997;6;4;3;2;4
False;1997;7;4;3;3;1
False;1997;13;4;3;2;2
False;1997;18;4;3;2;1
False;1997;1;4;3;2;15
False;1997;3;4;3;2;1
False;1997;3;4;3;3;3
False;1997;4;4;3;3;3
False;1997;4;4;3;4;44
False;1997;5;4;3;2;3
False;1997;6;4;3;3;1
False;1997;8;4;3;1;1
False;1997;8;4;3;3;7
False;1997;9;4;3;3;1
False;1997;9;4;3;4;2
False;1997;12;4;3;1;1
False;1997;12;4;3;2;9
False;1997;13;4;3;3;5
False;1997;17;4;3;2;4
False;1997;17;4;3;3;7
False;1997;19;4;3;3;1
False;1997;19;4;3;4;10
False;1997;20;4;3;1;3
False;1997;20;4;3;3;3
False;1997;21;4;3;1;2
False;1997;23;4;3;2;5
False;1997;21;4;3;2;3
False;1997;10;4;3;3;2
False;1997;18;4;3;3;6
False;1997;1;4;3;1;4
False;1997;0;4;3;1;31
False;1997;0;4;3;2;87
False;1997;0;4;3;3;126
False;1997;0;4;3;4;849
False;1997;1;4;3;3;14
False;1997;1;4;3;4;70
False;1997;3;4;3;4;32
False;1997;5;4;3;1;1
False;1997;5;4;3;3;6
False;1997;5;4;3;4;32
False;1997;6;4;3;4;23
False;1997;7;4;3;2;3
False;1997;7;4;3;4;35
False;1997;8;4;3;2;3
False;1997;8;4;3;4;24
False;1997;10;4;3;2;1
False;1997;10;4;3;4;28
False;1997;12;4;3;3;15
False;1997;12;4;3;4;114
